timestamp,event,event type,data,event group,front gear num,front gear,rear gear num,rear gear
2025-02-26T12:32:42.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:36:44.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:37:03.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:37:13.000Z,rearGearChange,marker,805446145,,2,48,1,34
2025-02-26T12:37:29.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:39:43.000Z,rearGearChange,marker,805446145,,2,48,1,34
2025-02-26T12:40:29.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:40:31.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:40:36.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:42:32.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:43:39.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:43:45.000Z,riderPositionChange,marker,transitionToStanding,,,,,
2025-02-26T12:43:48.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:47:50.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:47:50.000Z,distanceDurationAlert,marker,10000.00,1,,,,
2025-02-26T12:52:55.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:53:12.000Z,rearGearChange,marker,805446145,,2,48,1,34
2025-02-26T12:53:16.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:53:20.000Z,riderPositionChange,marker,standing,,,,,
2025-02-26T12:53:35.000Z,riderPositionChange,marker,transitionToStanding,,,,,
2025-02-26T12:53:36.000Z,timeDurationAlert,marker,3600.000,1,,,,
2025-02-26T12:53:38.000Z,riderPositionChange,marker,standing,,,,,
2025-02-26T12:53:45.000Z,riderPositionChange,marker,transitionToStanding,,,,,
2025-02-26T12:53:49.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:53:53.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:53:54.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:54:10.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T12:54:37.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T12:54:38.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:55:18.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:57:23.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:57:52.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T13:02:31.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T13:02:40.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T13:06:19.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T13:07:48.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T13:08:22.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T13:09:21.000Z,frontGearChange,marker,536944130,,1,32,2,30
2025-02-26T13:09:23.000Z,rearGearChange,marker,536943363,,1,32,3,27
2025-02-26T13:09:25.000Z,rearGearChange,marker,536944130,,1,32,2,30
2025-02-26T13:09:33.000Z,rearGearChange,marker,536945153,,1,32,1,34
2025-02-26T13:09:40.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T13:09:43.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T13:10:27.000Z,rearGearChange,marker,536944130,,1,32,2,30
